song_name,artist_name,primary_feeling
WORSHIP,Asake & DJ Snake,Blessed
Three Little Birds,Bob Marley & The Wailers,Happy
Billie Jean,Michael Jackson,Joy
Follow You,Imagine Dragons,Connected
Glycerine,Bush,Nostalgic
Wish You Were Here,Pink Floyd,Nostalgic
Video Vixen,FattMack,Hurt
�nema,Tool,Awestruck
Yes I'm A Mess,AJR,Validated
I Want To Stroll Over Heaven With You,Alan Jackson,Serene
Shake It Off,Taylor Swift,Happy
Take on Me,a-ha,Elated
Comfortably Numb,Pink Floyd,Relaxed
Heal the World,Michael Jackson,Peaceful
Blame It On Me,Morgan Wallen,Blissful
Ride,King Von,Excited
Us and Them,Pink Floyd,Powerful
Royals,Lorde,Happy
Dust to Dust,The Warning,Blissful
Hold On To Me,Lauren Daigle,Peaceful
Stairway to heaven ,Led Zeppelin ,Makes me feel youo
Die with a Smile,Lady Gaga & Bruno Mars,Happy
Won’t back down,Johnny cash,Motivates me
Win,Jay rock,Happy 
Luther,Kendrick Lamar,Feels Good
California love ,Tupac ,Just a chill vibe 
One Dance,Drake,amazing
Healing,Messi skin,Calmness
Where the Wild Things Are,Luke Combs,Loyalty
Are we still good ,H.E.R,Soothing 
Humble,Kendrick,Hype feelings
Dreams,Fleetwood mac,happiness
Enchanted,Taylor Swift,Comfort
Wonderwall,Oasis,Nostalgia 
",,😋👍👍👍"," ,,👍👍👍👍👍",😊👍👍👍👍👍
Mannish Boy,Muddy Waters ,Blues
Immigrant song,Led Zeppelin ,Excitement 
Favorite thing,Sophie rose,Happiness
I don’t have one,Unsure,Makes me feel happy
Enchanted,Taylor Swift,Love
Heroes,David Bowie,Joy
Faded ,Alan Walker ,Happiness 
When I’m gone ,Three doors down ,It gives me mixed emotions it causes sadness and pleasure 
Butterflies ,Michael Jackson ,Happiness 
I will always love you ,Whitney Houston ,"The primary feeling of the song I Will Always Love You by Whitney Houston is deep love mixed with sadness and letting go. It expresses emotional farewell, gratitude, and enduring affection."
This Hard Land,Bruce Springsteen youth,"Youth, work, family business, togetherness "
Fake It,Seether ,Contented 
Press,Cardi B,amazing
Here Comes the Sun,The Beatles,Optimism
The only ,The first time ,The only way I could do 
Heartache,Backstreet Boys,Nostalgia and calming.
Folded,Kehlani,Great
Dream chasers ,Meek mill,I love how it makes me feel happy 
Juicy ,Doja cat,Sexy 
Ambition as a ridah,Tupac,Awesome 
Disconnected ,Avaitors ,Loneliness 
gratitude,brandon lake,gratitude
Thuggish Ruggish Bone,Bone Thugs,Takes me back to high school 90s
My Sacrifice,Creed,It gets me pumped up and want to make me rock out. 
Wonderwall,Oasis,Youth
Piano man ,Billy Joel,Nostalgia 
everday yours,Drake White,happy
billie jean,mj,yylh
