song_name,artist_name,primary_feeling
Nothing Else Matters,Metallica,Happy
Thunderstruck,AC/DC,Upbeat
Michael Jackson,Beat It,Free-spirited
Enchanted,Taylor Swift,Comfortable
Opus,Eric Prydz,Joy
It's My Life,Bon Jovi,Strong
The End,The Doors,Nostalgic
Royals,Lorde,Happy
Ride,King Von,Excited
When I'm Gone,3 Doors Down,Bittersweet
�nema,Tool,Awestruck
Three Little Birds,Bob Marley & The Wailers,Happy
Lay It On The Line,Triumph,Awesome
Lonely Boy,The Black Keys,Upbeat
Butterflies,Michael Jackson,Happy
Lifestyle (feat. Young Thug & Rich Homie Quan),Rich Gang,Good
HUMBLE.,Kendrick Lamar,Exhilarated
Yes I'm a Mess,AJR,Validated
Paradise City,Guns N' Roses,Nostalgic
Under Pressure (feat. David Bowie),Queen,Energized
WIN,Jay Rock,Happy
My Sacrifice,Creed,Electrified
Wonderwall,Oasis,Youthful
Seasons In The Abyss,Slayer,Energized
Fast Car,Luke Combs,Happy
The One (feat. Drake),Mary J. Blige,Empowered
YOUR WAY'S BETTER,Forrest Frank,Free
Perfect,Ed Sheeran,Calm
Sensational,Chris Brown,Elevated
luther,Kendrick Lamar & SZA,Good
Welcome To The Jungle,Guns N' Roses,Energized 
Walk,Pantera,Confident
Shake It Off,Taylor Swift,Happy
Kryptonite ,Three Doors Down,Energized
At Last,Etta James,love
Wear my thug at,Bone thugs ,Good 
Die with a Smile,Lady Gaga & Bruno Mars,Happy
i can only imagine,mercy me,inspired
Calm Down,Rema,Calmness
Gesthemane,Sleep Roken,bitterness
Here Comes the Sun,The Beatles,Optimism
Gods plan,Drake,Inspiration
Iron man,Black sabbath ,Joy
love,wiskid,the beat
The only ,The first time ,The only way I could do 
I will always love you ,Whitney Houston ,"The primary feeling of the song I Will Always Love You by Whitney Houston is deep love mixed with sadness and letting go. It expresses emotional farewell, gratitude, and enduring affection."
Aloha ke Akua,Nahko and Medicine for the People,Hopeful
Dollhouse,Melanie Martinez,I like the trapped feeling that it gives me.
Glycerine ,Bush,Nostalgia 
total eclipse of the heart,Bonnie Tyler,Nostalgia
Croetia,Karol G,"Like a longing, sexual energy and very happy "
Ms jackson,Outcasts ,Happy and joy
Black hole sun,Soundgarden,Happiness 
Simple Man ,Lynard Skynard ,How good the simple life is.
everday yours,Drake White,happy
",,😋👍👍👍"," ,,👍👍👍👍👍",😊👍👍👍👍👍
Drops of Jupiter,Train,elation
Strangers,The Kinks,Bliss
Celibate Now,Girl in a Coma,Euphoria
Healing,Messi skin,Calmness
Blame it on Me,Morgan Wallen,Good vibes
Cassidy,Grateful Dead,Peace and tranquility
Love song,Taylor swift ,Vibes 
Heal the world,Michael jackson,inspirational
Us and them,Pink floyd,Powerful
love me,justin bieber,motion
HoldThe line,Toto,Melancholy
