song_name,artist_name,primary_feeling,youtube_music_url,core_affect_quadrant,song_download_status,wav_filename,bpm,danceability,onset_rate,average_loudness,dynamic_complexity,spectral_energy,chords_changes_rate,pitch_salience,spectral_complexity,spectral_centroid,barkbands_flatness_db,zerocrossingrate,scaled_bpm,scaled_danceability,scaled_onset_rate,scaled_average_loudness,scaled_dynamic_complexity,scaled_spectral_energy,scaled_chords_changes_rate,scaled_pitch_salience,scaled_spectral_complexity,scaled_spectral_centroid,scaled_barkbands_flatness_db,scaled_zerocrossingrate
Nothing Else Matters,Metallica,Happy,https://music.youtube.com/watch?v=pTYIf2pkxzQ,Quadrant 1,Success,nothingelsematters.wav,142.5590668,1.210696578,2.047596455,0.477190375,5.723120689,0.023347562,0.036908742,0.527988315,15.03398418,1231.788452,0.147657603,0.065210059,0.661461941,0.187734194,-1.981192999,-1.274313126,1.042979045,-0.693382014,-1.231193486,0.119982517,-0.5768112,-0.530249572,-0.309327101,0.134988018
Thunderstruck,AC/DC,Upbeat,https://music.youtube.com/watch?v=lhg9bYNLvOg,Quadrant 1,Success,thunderstruck.wav,133.8108673,1.236858487,3.748764277,0.896143258,3.66119504,0.022445513,0.048668358,0.580846012,24.8346405,2046.866455,0.103367873,0.0852625,0.33366433,0.335401156,0.292171086,0.542279598,-0.581396387,-0.770952575,-0.591073513,1.053568368,0.992971442,1.477854776,-1.423110036,1.257761953
Beat It,Michael Jackson,Independent,https://music.youtube.com/watch?v=kOn-HdEg6AQ,Quadrant 1,Success,beatit.wav,138.6587982,1.402649403,3.714956284,0.891028345,5.178120613,0.025085518,0.069529288,0.577435076,17.37430382,1445.752686,0.114903368,0.08527194,0.515317728,1.271183059,0.246991606,0.520101176,0.613630521,-0.543928689,0.544465093,0.993323564,-0.201959453,-0.003106763,-1.133019366,1.258290517
Enchanted,Taylor Swift,Comforted,https://music.youtube.com/watch?v=fvg01l43XBc,Quadrant 4,Success,enchanted.wav,163.9039917,1.029282212,2.932990313,0.89672488,3.876791,0.02000396,0.038892552,0.50985074,19.43377876,1716.667847,0.141548976,0.088196166,1.46126256,-0.836231924,-0.797992511,0.544801529,-0.411550893,-0.980910833,-1.123207272,-0.200367864,0.127909069,0.664345814,-0.462944757,1.422023438
Opus,Eric Prydz,Joy,https://music.youtube.com/watch?v=gt1pKrwxAJU,Quadrant 1,Success,opus.wav,125.9130325,1.759281158,4.41593504,0.358961225,6.1081357,0.033714354,0.039046481,0.486722708,16.0290947,1256.820557,0.158786416,0.054269269,0.037730135,3.28413739,1.183748055,-1.786958396,1.346292079,0.198097135,-1.11482834,-0.608860944,-0.417423179,-0.468578077,-0.029463529,-0.477607418
It's My Life,Bon Jovi,Empowered,https://music.youtube.com/watch?v=bY3vXr7fm8k,Quadrant 1,Success,it'smylife.wav,119.9964676,1.147614837,2.975318909,0.967298269,1.819995761,0.030158008,0.064309344,0.595562756,31.76504707,1920.442993,0.090567365,0.083703123,-0.183965293,-0.168321211,-0.741426481,0.850809937,-2.031884612,-0.107726335,0.260323977,1.313499177,2.103022809,1.166385809,-1.74501282,1.170449499
The End,The Doors,Nostalgic,https://music.youtube.com/watch?v=BXqPNlng6uI,Quadrant 4,Success,theend.wav,105.6448898,0.959297955,2.907298803,0.13520056,5.882586002,0.017618686,0.043900184,0.504902363,11.58417511,908.1490479,0.192063361,0.039012067,-0.721723139,-1.231247542,-0.832325488,-2.757191595,1.168605077,-1.18602945,-0.850623094,-0.287767335,-1.129371174,-1.327598651,0.807373668,-1.331886891
Royals,Lorde,Happy,https://music.youtube.com/watch?v=cVWOEx4Xdhs,Quadrant 1,Success,royals.wav,84.97424316,1.180886149,4.016447067,0.904400826,4.312233448,0.073537715,0.072247989,0.376458138,9.546197891,1007.146729,0.268971652,0.035581596,-1.496258353,0.019473709,0.649890314,0.578084669,-0.068511359,3.622656628,0.692454178,-2.556381329,-1.455796381,-1.083698468,2.741436985,-1.523965423
Ride,King Von,Excited,https://music.youtube.com/watch?v=FLQ7djBxn_c,Quadrant 1,Success,ride.wav,162.2097015,1.326074481,4.438677311,0.781069696,4.054982662,0.048326045,0.047603521,0.462746471,15.04125214,1195.351807,0.197390839,0.048162621,1.397777008,0.838967423,1.214139802,0.043317056,-0.271172331,1.454610997,-0.649036582,-1.032335232,-0.575647083,-0.620018386,0.941347257,-0.81953014
When I'm Gone,3 Doors Down,Bittersweet,https://music.youtube.com/watch?v=Gt4xZnBBOHQ,Quadrant 3,Success,wheni'mgone.wav,147.9881287,0.984514296,3.095649958,0.914217353,3.831621647,0.034382112,0.055813123,0.496926188,23.7413063,1302.758911,0.149689853,0.049406931,0.864890488,-1.088917696,-0.580621485,0.620649435,-0.447135099,0.255520138,-0.202157176,-0.428644531,0.817850818,-0.355399942,-0.258220775,-0.74985888
